"Group_Type","Delegation","Honorific","Person_Name","Job_Title","Division","Affiliation","Virtual","Year","Meeting","Location","Female","IGO","NGO","Observer","Party","IO","Delegation_COW","Delegation_ISO"
"Parties","Bahamas","Mrs","Paulette Bethel","Deputy Chief",NA,NA,0,1991,"INC 1","Washington DC",1,0,0,0,1,0,31,"BHS"
"Parties","Bahamas","Ms","Sharon Brennen","First Secretary",NA,NA,0,1991,"INC 1","Washington DC",1,0,0,0,1,0,31,"BHS"
"Parties","Bahamas","Mr","David Cates","Second Secretary",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,31,"BHS"
"Parties","Bahamas","Mr","Joseph Curry","Second Secretary",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,31,"BHS"
"Parties","Bahamas","Mr","Michael Stubbs","Meteorological officer",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,31,"BHS"
"Parties","Bangladesh","Mr","Toufiq Ali","Director-General, Head of the Delegation","(Economic Affairs)","Ministry of Foreign Affairs",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,771,"BGD"
"Parties","Bangladesh","Mr","Perajul Islam","Adviser",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,771,"BGD"
"Parties","Bangladesh","Mr","Humyan Kabir",NA,NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,771,"BGD"
"Parties","Barbados","Ms","Antoinette Forte","First Secretary, Head of the Delegation","Embassy of Barbados Washington D.C",NA,0,1991,"INC 1","Washington DC",1,0,0,0,1,0,53,"BRB"
"Parties","Barbados","Ms","Donna Gibson","Second Secretary",NA,"Embassy of Barbados Washington D.C",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,53,"BRB"
"Parties","Belgium","M","Jean-Paul R. Poncelet","Mission to the Office of the Minister of",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,211,"BEL"
"Parties","Belgium","Mme","Vanderstraeten","Program Manager","Global Change s alternates",NA,0,1991,"INC 1","Washington DC",1,0,0,0,1,0,211,"BEL"
"Parties","Belgium","M","Christian G. Lepage","Second secretary",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,211,"BEL"
"Parties","Belgium","Mme","Marie-Ange Katzeff",NA,NA,NA,0,1991,"INC 1","Washington DC",1,0,0,0,1,0,211,"BEL"
"Parties","Bolivia","Sr","Erwin Ortiz","Minister Counselor, Head of the Delegation","Permanent Mission of Bolivia to the United Nations New York",NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,145,"BOL"
"Parties","Bolivia","Srta","Teresa Menacho","First Secretary of the Bolivian Embassy Washington D.C",NA,NA,0,1991,"INC 1","Washington DC",1,0,0,0,1,0,145,"BOL"
"Parties","Bostwana","Ms","G.k. Ramothwa","Director, Head of the Delegation","Department of Meteorological Services",NA,0,1991,"INC 1","Washington DC",1,0,0,0,1,0,571,"BWA"
"Parties","Bostwana","Ms","P.j. Molefe","Second Secretary",NA,"Permanent Mission of Botswana to the United Nations New York",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,571,"BWA"
"Parties","Bostwana","Ms","S. Tau","Second Secretary",NA,"Embassy of Botswana Washington D.C",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,571,"BWA"
"Parties","Brazil","Mr","José Goldemberg","Secretary for Science and Technology of the Presidency of the Republic, Head of the Delegation",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,140,"BRA"
"Parties","Brazil","Mr","Edgar Antonio Perreira","National Secretary of the Economy",NA,"Ministry of Economy Finance and Planning",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,140,"BRA"
"Parties","Brazil","Mr","Luiz Filipe Macedo-Soares","Head of the Environment Division",NA,"Ministry of External Relations Executive Secretary of the Interministerial Commission for the Preparation of the United Nations Conference on Environment and Development",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,140,"BRA"
"Parties","Brazil","Ms","Vera Machado",NA,NA,"Embassy of Brazil Washington",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,140,"BRA"
"Parties","Brazil","Mr","Paulo De Goes","Director","International Affairs","Secretariat of the Environment of the Presidency of the Republic",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,140,"BRA"
"Parties","Brazil","Mr","Luiz Gylvan Metra","Director","Earth Observation Division","National Institute of Space Research",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,140,"BRA"
"Parties","Brazil","Mr","Fernando Coimbra",NA,"Environment Division","Ministry of External Relations",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,140,"BRA"
"Parties","Brunei Darussalam","Mr","Janeh Sukaimi","Second Secretary",NA,"Embassy of Brunei Darussalam Washington D.C",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,835,"BRN"
"Parties","Bulgaria","HE Mr","Izgrev Topkov","Ambassador Head of Department, Head of the Delegation",NA,"Ministry of Foreign Affairs",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,355,"BGR"
"Parties","Bulgaria","Mr","Vladimir Ossenov","First Secretary for Science and Technology",NA,"Embassy of the Republic of Bulgaria Washington D.C",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,355,"BGR"
"Parties","Burkina Faso","SE M","Gaetan R. Ouedraogo","Ambassador Extraordinary and Permanent Plenipotentiary of Burkina Faso to the United Nations New York, Alternate Head of Delegation",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,439,"BFA"
"Parties","Burkina Faso","M","Ambroise Silga","Second advisor",NA,"Permanent Mission of Burkina Faso to the United Nations New York",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,439,"BFA"
"Parties","Cameroon","HE","M. Paul Pondi","Ambassador Head of delegation",NA,NA,0,1991,"INC 1","Washington DC",NA,0,0,0,1,0,471,"CMR"
"Parties","Cameroon","M","Jean-Blaise Konn","advise",NA,"Permanent Mission of Cameroon to the United Nations New York",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,471,"CMR"
"Parties","Canada","Mr","Barry Mawhinney","Legal Advisor","Department of External Affairs","Head of the Delegation",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,20,"CAN"
"Parties","Canada","Ms","Elizabeth Dowdeswell","Assistant Deputy Minister","Atmospheric Environment Service","Alternate Head of the Delegation",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,20,"CAN"
"Parties","Canada","HE Mr","Derek H. Burney","ambassador of Canada to the United States",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,20,"CAN"
"Parties","Canada","Mr","Michael Cleland","Director-General Energy Policy Branch",NA,"Department of Energy",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,20,"CAN"
"Parties","Canada","Mr","Robert J. Rochon","Mines and Resources Director","Legal Operations Division","Department of External Affairs",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,20,"CAN"
"Parties","Canada","Ms","Sue Kirby","Director","Climate Change Task Force Energy Policy Branch","Department of Energy Mines and Resources",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,20,"CAN"
"Parties","Canada","Mr","Douglas J. Russell","Director","Climate Change Convention Negotiations Office Atmospheric Environment Service","Environment Canada",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,20,"CAN"
"Parties","Canada","Mr","Brian Herman","Deputy Director","Energy and Environment Division","Department of External Affairs",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,20,"CAN"
"Parties","Canada","Mr","Richard J. Kinley","Deputy Director","Climate Change Convention Negotiations Office Atmospheric Environment Service","Environment Canada",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,20,"CAN"
"Parties","Canada","Mr","Timothy Boyle","Co-ordinator","Forest Genetics and Biodiversity Science Directorate","Forestry Canada",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,20,"CAN"
"Parties","Canada","Mrs","Ann C. Cronin-Cossette","First Secretary and Consul",NA,"Embassy of Canada Washington D.C",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,20,"CAN"
"Parties","Canada","Ms","Cecilia Embree","Policy Researcher","Climate Change Convention Negotiations office Atmospheric Environment Service","Environment Canada",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,20,"CAN"
"Parties","Canada","Mr","John P. Bell","Special Adviser to the Secretary of State for External Affairs on the Environment","Department of External Affairs",NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,20,"CAN"
"Parties","Canada","Mr","J.g. Beausoleil","Chief","Environment and Energy Section Environment","Energy and Resources Division Department of Finance",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,20,"CAN"
"Parties","Canada","Mr","Henry Hengeveld","Adviser","Carbon Dioxide Related Matters Canadian Climate Centre Atmospheric Environment Service","Environment Canada",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,20,"CAN"
"Parties","Canada","Mr","Ian Burn","Executive Director","Energy Efficiency and Environmental Affairs","Ministry of Energy Province of Alberta",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,20,"CAN"
"Parties","Canada","Mr","Hans Konow","Vice-President","Public Affairs","Canadian Electrical Association",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,20,"CAN"
"Parties","Canada","Mr","Robert Hornung","Atmospheric Campaigner",NA,"Friends of the Earth canada",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,20,"CAN"
"Parties","Chile","Sr","Sigisfredo Monsalve","Deputy Director of the Special Policy Directorate, Head of the Delegation","Ministry of Foreign Affairs",NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,155,"CHL"
"Parties","Chile","Sr","Guillermo Palacios","Air Force Colonel Director",NA,"Meteorological",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,155,"CHL"
"Parties","China","Mr","Sun Lin","Director of the Treaty and Law Department",NA,"Ministry of Foreign Affairs Head of the Delegation",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,710,"CHN"
"Parties","China","Mr","Luo Jibin","Deputy Administrator of State","Meteorological Administration","Deputy Head of the Delegation",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,710,"CHN"
"Parties","China","Mr","Bai Xianhong","Director, Deputy Head of Delegation","Office of Environmental Science and Technology","State Science and Technology Comission",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,710,"CHN"
"Parties","China","Mr","Zhong Shukong","Minister-Counsellor","International Department","Ministry of Foreign Affairs",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,710,"CHN"
"Parties","China","Mr","Liu Dagun","Division Chief of International Environmental Law","Treaty and Law Department","Ministry of Foreign Affairs",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,710,"CHN"
"Parties","China","Mr","Ye Rugiu","Deputy Director","Foreign Affairs Office","National Environmental Protection Agency",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,710,"CHN"
"Parties","China","Mr","Zheng Bo",NA,NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,710,"CHN"
"Parties","China","Mr","Xu Fenggang","Deputy Division Chief","Department of Energy and Environmental Protection","Ministry of Energy",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,710,"CHN"
"Parties","China","Mr","Li Haiqing","Deputy Division Chief","Department of International Cooperation","State Oceanic Administration",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,710,"CHN"
"Parties","China","Mr","Xuan Zeng Pei",NA,"Department of International Cooperation","State Science and Technology Commission",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,710,"CHN"
"Parties","China","Mr","Su Wei","Third Secretary","Treaty and Law Department","Ministry of Foreign Affairs",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,710,"CHN"
"Parties","China","Mr","Wang Xiaolong","Attaché","International Department","Ministry of Foreign Affairs",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,710,"CHN"
"Parties","Colombia","Sra","Juanita Castano","Minister Plenipotentiary Alternate Representative, Head of the Delegation",NA,"Permanent Mission of Colombia to the United Nations New York",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,100,"COL"
"Parties","Colombia","Sr","Jorge Hernandez-Camacho","Scientific Researcher of the Research Unit",NA,"Federico Medem-UNIFEM",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,100,"COL"
"Parties","Comoros","SE M","Amini Ali Moumin","Ambassador Extraordinary and Permanent Plenipotentiary of the Comoros to the United Nations New York",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,581,"COM"
"Parties","Costa Rica","SE Sr","Gonzalo J. Facio","Extraordinary and Plenipotentiary Ambassador of Costa Rica in Washington D.C., Head of the Delegation",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,94,"CRI"
"Parties","Costa Rica","SE Sr","Carlos M. Pereira Garro","Ambassador of Costa Rica to the Organization of American States",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,94,"CRI"
"Parties","Costa Rica","Sr","Luis E. Guardia","Minister Counselor of the Embassy of Costa Rica in Washington D.C",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,94,"CRI"
"Parties","Costa Rica","Sr","Ricardo Toledo","Minister Counselor, First Alternate Delegate to the Organization of American States",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,94,"CRI"
"Parties","Costa Rica","Sr","Ricardo Lizano","Minister Counselor, Second Alternate Delegate to the Organization of American States",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,94,"CRI"
"Parties","Cuba","Sr","Carlos Fernandez De Cossiio","Second Secretary of the Permanent Mission of Cuba to the United Nations, New York",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,40,"CUB"
"Parties","Cyprus","Mr","Alexandros N. Vikis","Deputy Chief of Mission",NA,"Embassy of Cyprus Washington D.C",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,352,"CYP"
"Parties","Czechoslovakia","HE Ms","Rita Klimova","Ambassador Extraordinary and Plenipotentiary of the Czech and Slovak Federal Republic to the United States of America, Head of the Delegation",NA,NA,0,1991,"INC 1","Washington DC",1,0,0,0,1,0,315,"CSK"
"Parties","Czechoslovakia","Mr","Pavol Sepelak",NA,NA,"Permanent Mission of the Czech and Slovak Federal Republic to the United Nations",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,315,"CSK"
"Parties","Denmark","HE Mr","Ole Loensmann Poulsen","Ambassador Under-Secretary for Multilateral Development, Head of the Delegation",NA,"Ministry of Foreign Affairs",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,390,"DNK"
"Parties","Denmark","Mr","Ole Plougmann","Deputy Director-General, Head of the Delegation","Ministry of the Environment",NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,390,"DNK"
"Parties","Denmark","Mr","Bo Lidegaard","Head of Section (Environment)",NA,"Ministry of Foreign Affairs",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,390,"DNK"
"Parties","Denmark","Mr","Ulrik Torp","Senior Advisor",NA,"Ministry of the Environment",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,390,"DNK"
"Parties","Denmark","Mr","Niels Bo Soerensen","Head of Section",NA,"Ministry of the Environment",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,390,"DNK"
"Parties","Denmark","Ms","Lise Backer","Head of Section",NA,"Ministry of Energy",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,390,"DNK"
"Parties","Denmark","Ms","Anne Meldgaard","Secretary of Embassy",NA,"Embassy of Denmark Washington D.C",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,390,"DNK"
"Parties","Djibouti","M","Bouraleh Issa Daher","Second secretary",NA,"Embassy of the Republic of Djibouti in the United States D.C",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,522,"DJI"
"Parties","Ecuador","Sr","Patricio Zuquilanda","Minister of the Embassy of Ecuador in Washington, Head of the Delegation",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,130,"ECU"
"Parties","Ecuador","Sr","Gustavo Galarraga",NA,NA,"Ministry of Foreign Affairs",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,130,"ECU"
"Parties","Ecuador","Sra","Monica Gross",NA,NA,"Ministry of Foreign Affairs",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,130,"ECU"
"Parties","Egypt","HE Mr","Elsayed E. Elreedy","Ambassador, Head of the Delegation",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,651,"EGY"
"Parties","Egypt","Mr","Hussein Derar",NA,NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,651,"EGY"
"Parties","Egypt","Mr","Tarek Adel",NA,NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,651,"EGY"
"Parties","Egypt","Mr","Hamdy Ibrahim",NA,NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,651,"EGY"
"Parties","El Salvador","Sr","José Luis Trigueros","Business manager",NA,"Embassy of El Salvador Washington D.C",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,92,"SLV"
"Parties","El Salvador","Sr","Tomas Gelio Guzman","Director",NA,"Oficina Meteorologica",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,92,"SLV"
"Parties","Ethiopia","Mr","Girma Amare","Chargé d'affaires a.i., Head of the Delegation","Embassy of Ethiopia Washington D.C",NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,530,"ETH"
"Parties","Ethiopia","Mr","Abebe Beyene","First Secretary",NA,"Embassy of Ethiopia Washington D.C",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,530,"ETH"
"Parties","Fiji","Mr","Finau Mara","Head of the Delegation","Embassy of Fiji Washington D.C",NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,950,"FJI"
"Parties","Fiji","HE Mr","Winston Thompson","Ambassador Extraordinary and Plenipotentiary Permanent Representative of Fiji to the United Nations, New York",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,950,"FJI"
"Parties","Fiji","Ms","Corrine Yee",NA,NA,NA,0,1991,"INC 1","Washington DC",1,0,0,0,1,0,950,"FJI"
"Parties","Fiji","Mr","Arnold Smith",NA,NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,950,"FJI"
"Parties","Finland","HE Mr","Esko Kiuru","Ambassador Head of the Delegation",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,375,"FIN"
"Parties","Finland","Mrs","Aira Kalela","Assistant Director-General Ministry of the Environment Deputy Head of the Delegation",NA,NA,0,1991,"INC 1","Washington DC",1,0,0,0,1,0,375,"FIN"
"Parties","Finland","Ms","Birthe H. M. Ivars","First Secretary",NA,"Ministry of Foreign Affairs",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,375,"FIN"
"Parties","Finland","Mr","Antti Kulmala","Assistant Director-General Ministry of the Environment",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,375,"FIN"
"Parties","Finland","Mr","Juha P.a. Kuusi","counsellor",NA,"Ministry of Foreign Affairs Adviser",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,375,"FIN"
"Parties","Finland","Ms","Heidi Schroderus","First Secretary",NA,"Embassy of Finland Washington D.C",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,375,"FIN"
"Parties","France","M","Jean Ripert","Project manager to the Minister of State",NA,"Ministry of Foreign Affairs Head of delegation",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,220,"FRA"
"Parties","France","M","Francois-Roger Cazala","Deputy Director of the Environment Unit at the Ministry of Foreign Affairs",NA,NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,220,"FRA"
"Parties","France","M","Jean Labrousse",NA,NA,"Ministry of Research",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,220,"FRA"
"Parties","France","M","Jean-Michel Chasseriaux",NA,NA,"Ministry of Research",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,220,"FRA"
"Parties","France","Mr","Arthur Riedacker",NA,NA,"Ministry of Cooperation and Development",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,220,"FRA"
"Parties","France","M","Michel Rochas",NA,"National Meteorological Office",NA,0,1991,"INC 1","Washington DC",0,0,0,0,1,0,220,"FRA"
"Parties","France","M","Christian Barthod",NA,NA,"The Minister of Agriculture",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,220,"FRA"
"Parties","France","M","Jacques De Peretti",NA,"General Directorate of Energy and Raw Materials","Ministry of Industry and Regional Planning",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,220,"FRA"
"Parties","France","Mme","Nathalie Deguen",NA,"Direction du Tresor","Ministry of Economy, Finance and Budget",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,220,"FRA"
"Parties","France","Mme","Marie-Laure Tanon",NA,"Directorate of the United Nations and international organizations","Ministry of Foreign Affairs",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,220,"FRA"
"Parties","France","M","Guy Feaux De La Croix",NA,NA,"Ministry of Foreign Affairs",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,220,"FRA"
"Parties","France","Mme","Delphine Borione",NA,"Environment Unit--Directorate of Economic and Financial Affairs","Ministry of Foreign Affairs",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,220,"FRA"
"Parties","France","M","Michel Aubry","Advisor for Science and Technology",NA,"Embassy of France in the United States",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,220,"FRA"
"Parties","Germany","Mr","Bernd Schmidbauer","Parliamentary Secretary of State, Head of the Delegation",NA,"Federal Ministry of the Environment Nature Conservation and Nuclear Safety",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,255,"DEU"
"Parties","Germany","Mr","Helmut Rau","First Counsellor","Foreign Office","Deputy Head of the Delegation",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,255,"DEU"
"Parties","Germany","Mr","Wendelin Wilhelm","Head of Division",NA,"Federal Ministry of Economics",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,255,"DEU"
"Parties","Germany","Mr","Peter Splett","Head of Department",NA,"Federal Ministry of Agriculture",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,255,"DEU"
"Parties","Germany","Ms","Jutta Wolke","First Secretary",NA,"Permanent Mission of Germany Geneva",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,255,"DEU"
"Parties","Germany","Mr","Ewald Tekuelve",NA,NA,"Federal Ministry of Economics",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,255,"DEU"
"Parties","Germany","Ms","Cornelia Quennet","Senior Adviser",NA,"Federal Ministry of the Environment Nature Conservation and Nuclear Safety",0,1991,"INC 1","Washington DC",1,0,0,0,1,0,255,"DEU"
"Parties","Germany","Mr","Juergen Wenderoth",NA,NA,"Federal Ministry of Finance",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,255,"DEU"
"Parties","Ghana","Mr","Nelson K. Dumevi","Minister and Deputy Permanent Representative",NA,"Permanent Mission of Ghana to the United Nations New York",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,452,"GHA"
"Parties","Ghana","Mr","Edward Obeng Kufour","Minister Counsellor",NA,"Permanent Mission of Ghana to the United Nations New York",0,1991,"INC 1","Washington DC",0,0,0,0,1,0,452,"GHA"
